class,precision,recall,f1,support,method
halfling,0.910377358490566,0.965,0.9368932038834952,200,hog_svm
human,0.9786780383795308,0.9503105590062112,0.9642857142857144,483,hog_svm
lizard,0.961038961038961,0.9866666666666668,0.9736842105263158,225,hog_svm
orc,0.9507389162561576,0.932367149758454,0.9414634146341464,207,hog_svm
wingedrat,0.9891304347826086,0.9891304347826086,0.9891304347826086,92,hog_svm
halfling,1.0,1.0,1.0,200,resnet18
human,1.0,1.0,1.0,483,resnet18
lizard,0.9911894273127754,1.0,0.995575221238938,225,resnet18
orc,1.0,0.9903381642512076,0.9951456310679612,207,resnet18
wingedrat,1.0,1.0,1.0,92,resnet18
